01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2011,Crato,Município,T2,,,, fogos,0
2011,Crato,Município,T3,,,, fogos,0
2011,Crato,Município,T4 ou mais,,,, fogos,1
2011,Crato,Município,Total,,,, fogos,1
2011,Cuba,Município,T0 ou T1,,,, fogos,0
2011,Cuba,Município,T2,,,, fogos,2
2011,Cuba,Município,T3,,,, fogos,16
2011,Cuba,Município,T4 ou mais,,,, fogos,6
2011,Cuba,Município,Total,,,, fogos,24
2011,Elvas,Município,T0 ou T1,,,, fogos,2
2011,Elvas,Município,T2,,,, fogos,10
2011,Elvas,Município,T3,,,, fogos,12
2011,Elvas,Município,T4 ou mais,,,, fogos,6
2011,Elvas,Município,Total,,,, fogos,30
